NAME,STREET,POST_CODE,CITY,LONGITUDE,LATITUDE,HUMIDITY_AVG,PRESSURE_AVG,TEMPERATURE_AVG,PM10_AVG,PM25_AVG,TIMESTAMP
SZKOŁA PODSTAWOWA IM. BOHATERÓW POWSTAŃ ŚLĄSKICH W KAŁKOWIE, , 48-364, KAŁKÓW,17.185241,50.4042, 30.866666666666664, 985.7333333333332, 27.433333333333334,2.533333333333333,1.366666666666666, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA W MACIEJOWICACH, , 48-385, MACIEJOWICE,17.13497,50.4998, 36.43333333333333, 976.2333333333332, 27.233333333333334,0.766666666666666,0.42, 2026-07-25 13:49:23
TEST SZKOŁA, ul Testowa, 00-000, TESTCITY,-157.52969778504766,1.8586845937815497, 48.43333333333334, 994.8666666666668, 23.53333333333333,0.6666666666666661,0.369999999999999, 2026-07-25 13:49:23
ZESPÓŁ EDUKACYJNY W KONOTOPIE, PL. POWSTAŃCÓW WIELKOPOLSKICH, 67-416, KONOTOP,15.9031,51.93023, 40.4, 1001.6999999999999, 23.666666666666668,3.6999999999999993,2.11, 2026-07-25 13:49:23
PRZEDSZKOLE NR 6 W BOCHNI, MUROWIANKA, 32-700, BOCHNIA,20.4415,49.96533, 39.1, 1000.0, 25.53333333333333,1.733333333333333,0.966666666666666, 2026-07-25 13:49:23
PUBLICZNA SZKOŁA PODSTAWOWA W SZYMISZOWIE, SZKOLNA, 47-161, SZYMISZÓW,18.21983,50.53656, 47.0, 988.8666666666667, 25.599999999999998,2.066666666666666,1.106666666666666, 2026-07-25 13:49:23
PUBLICZNA SZKOŁA PODSTAWOWA W ROZMIERCE, SZKOLNA, 47-171, ROZMIERKA,18.26905,50.56072, 1.0, 1016.1666666666666, 30.400000000000002,3.6999999999999993,1.96, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA IM. ORŁA BIAŁEGO W KUROWICACH FILIA W WOLI RAKOWEJ, SZKOLNA, 95-006, WOLA RAKOWA,19.61157,51.67447, 54.5, 988.7666666666668, 25.066666666666666,0.066666666666666,0.036666666666666, 2026-07-25 13:49:23
SZKOŁA PODSTAWOWA NR 8 IM. JÓZEFA WESZKI W RUDOŁTOWICACH, KRZYWOŃ, 43-220, RUDOŁTOWICE,19.00171,49.95711, 55.06666666666666, 992.4, 24.599999999999998,0.2,0.099999999999999, 2026-07-25 13:49:23
ZESPÓŁ SZKOLNO-PRZEDSZKOLNY W WIŚLE WIELKIEJ, HODOWCÓW, 43-243, WISŁA WIELKA,18.8532,49.95291, 44.36666666666667, 985.6333333333333, 23.53333333333333,1.4,0.756666666666666, 2026-07-25 13:49:23
